tau,P_excited_N_1,P_excited_N_2,P_excited_N_3,P_excited_N_4,P_excited_N_5,P_excited_N_6
0.0,1.0,2.0,3.0,4.0,5.0,6.0
0.004008016032064128,0.9762387572754636,1.9520916795858783,2.927551432685151,3.9026105206504127,4.877261325590105,5.851496087829154
0.008016032064128256,0.9530421153036599,1.9046015307852922,2.854624616801309,3.8030559374575854,4.749838253991569,5.694912471355677
0.012024048096192383,0.9303966488520835,1.8575882982002414,2.7814098850468887,3.7016890410819436,4.618245874818817,5.530892803221432
0.01603206412825651,0.9082892659336582,1.8111045900593423,2.7080896800656253,3.598869676869109,4.4830506723483445,5.360219382227143
0.02004008016032064,0.8867071809589219,1.7651973053655783,2.634837499079873,3.4949588682953374,4.344856181074396,5.183787889490209
0.024048096192384766,0.8656379113620983,1.7199080569926575,2.561817132583538,3.3903136378463423,4.204289032616928,5.002579771558927
0.028056112224448895,0.8450692668524036,1.6752735404120396,2.4891821325971906,3.285282547765654,4.061985831472023,4.817633935277084
0.03206412825651302,0.8249893584043319,1.6313259029616127,2.41707547929772,3.18020194877923,3.918581197969755,4.630019193723013
0.03607214428857715,0.8053865733717684,1.5880930639681832,2.345629424938925,3.0753929060420147,3.7746971964826983,4.440808464486305
0.04008016032064128,0.7862495645602687,1.5455990415509062,2.2749654701233477,2.9711587660706966,3.630934258034609,4.251055651103439
0.044088176352705406,0.767567280680742,1.5038642506731161,2.205194463011216,2.8677832839914643,3.4878636357395902,4.0617756117923
0.04809619238476953,0.7493289207972857,1.4629057631473965,2.1364168026352885,2.7655293267700145,3.3460213673344352,3.8739275326889198
0.052104208416833664,0.7315239153735374,1.4227375822092156,2.0687226855366823,2.6646379683940626,3.2059036741194333,3.6884017799171374
0.05611222444889779,0.7141419819570805,1.3833708846184876,2.002192459077564,2.5653280741398414,3.0679636791224696,3.506010092849406
0.06012024048096192,0.6971730799004733,1.344814234409988,1.9368970205579257,2.4677961592962854,2.9326093795421047,3.32747893327726
0.06412825651302605,0.6806073808401971,1.3070737934981336,1.8728982164826684,2.372216670340741,2.800202576439527,3.153445760146927
0.06813627254509018,0.6644353043499399,1.2701535413654848,1.8102492481548298,2.278742404160689,2.671058851208536,2.9844576243699006
