N,gamma0/gammac,runtime seconds,initial population,final population,status
10,0.0,81.43033146858215,10.0,4.7403745807245e-10,completed
10,0.1,134.88615584373474,10.0,0.14699519507414052,completed
10,0.5,198.3325252532959,10.0,0.23987836181484778,completed
10,1.0,200.64784836769104,10.0,0.10800788631608627,completed
10,2.0,221.87398648262024,10.0,0.00955277702037656,completed
